timeStamp,elapsed,label,responseCode,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-26;18:12:28,1384,Vue_connectee,200,true,2559,3,10,1383,CI
2013-12-26;18:12:28,1331,/account,200,true,2559,7,10,1331,CI
2013-12-26;18:12:28,1331,Vue_connectee,200,true,2559,7,10,1331,CI
2013-12-26;18:12:29,1298,/app/user/logout,200,true,2321,7,10,429,CI
2013-12-26;18:12:29,1294,/app/user/logout,200,true,2321,3,10,425,CI
2013-12-26;18:12:30,847,/,200,true,1934,7,10,847,CI
2013-12-26;18:12:29,2146,Deconnexion,200,true,4255,7,10,1276,CI
2013-12-26;18:12:29,1307,/app/user/logout,200,true,2321,7,10,442,CI
2013-12-26;18:12:31,919,/,200,true,1934,3,10,919,CI
2013-12-26;18:12:29,2214,Deconnexion,200,true,4255,3,10,1344,CI
2013-12-26;18:12:31,915,/,200,true,1992,7,10,915,CI
2013-12-26;18:12:31,915,Accueil,200,true,1992,7,10,915,CI
2013-12-26;18:12:31,875,/,200,true,1934,7,10,875,CI
2013-12-26;18:12:29,2183,Deconnexion,200,true,4255,7,10,1317,CI
2013-12-26;18:12:32,841,/,200,true,1992,3,10,841,CI
2013-12-26;18:12:32,842,Accueil,200,true,1992,3,10,841,CI
2013-12-26;18:12:26,6626,/app/user/login,200,true,2332,3,10,5345,CI
2013-12-26;18:12:32,975,/,200,true,1992,7,10,975,CI
2013-12-26;18:12:32,976,Accueil,200,true,1992,7,10,975,CI
2013-12-26;18:12:27,6547,/app/user/login,200,true,2374,7,10,5602,CI
2013-12-26;18:12:33,1179,/,200,true,1945,3,10,1179,CI
2013-12-26;18:12:26,7806,Connexion,200,true,4277,3,10,6524,CI
2013-12-26;18:12:33,1100,/,200,true,1987,7,10,1100,CI
2013-12-26;18:12:27,7647,Connexion,200,true,4361,7,10,6702,CI
2013-12-26;18:12:29,6407,/app/user/login,200,true,2332,7,10,5186,CI
2013-12-26;18:12:34,1692,/account,200,true,2556,3,10,1692,CI
2013-12-26;18:12:34,1692,Vue_connectee,200,true,2556,3,10,1692,CI
